sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
12.03.2010 00:00;0,007;
12.03.2010 00:10;0,007;
12.03.2010 00:20;0,007;
12.03.2010 00:30;0,007;
12.03.2010 00:40;0,007;
12.03.2010 00:50;0,007;
12.03.2010 01:00;0,007;
12.03.2010 01:10;0,007;
12.03.2010 01:20;0,007;
12.03.2010 01:30;0,007;
12.03.2010 01:40;0,007;
12.03.2010 01:50;0,007;
12.03.2010 02:00;0,007;
12.03.2010 02:10;0,007;
12.03.2010 02:20;0,007;
12.03.2010 02:30;0,007;
12.03.2010 02:40;0,007;
12.03.2010 02:50;0,007;
12.03.2010 03:00;0,007;
12.03.2010 03:10;0,007;
12.03.2010 03:20;0,007;
12.03.2010 03:30;0,007;
12.03.2010 03:40;0,007;
12.03.2010 03:50;0,007;
12.03.2010 04:00;0,007;
12.03.2010 04:10;0,007;
12.03.2010 04:20;0,007;
12.03.2010 04:30;0,007;
12.03.2010 04:40;0,007;
12.03.2010 04:50;0,007;
12.03.2010 05:00;0,007;
12.03.2010 05:10;0,007;
12.03.2010 05:20;0,007;
12.03.2010 05:30;0,007;
12.03.2010 05:40;0,007;
12.03.2010 05:50;0,007;
12.03.2010 06:00;0,007;
12.03.2010 06:10;0,007;
12.03.2010 06:20;0,007;
12.03.2010 06:30;0,007;
12.03.2010 06:40;0,007;
12.03.2010 06:50;0,007;
12.03.2010 07:00;0,007;
12.03.2010 07:10;0,007;
12.03.2010 07:20;0,007;
12.03.2010 07:30;0,007;
12.03.2010 07:40;0,007;
12.03.2010 07:50;0,007;
12.03.2010 08:00;0,007;
12.03.2010 08:10;0,007;
12.03.2010 08:20;0,007;
12.03.2010 08:30;0,007;
12.03.2010 08:40;0,007;
12.03.2010 08:50;0,007;
12.03.2010 09:00;0,007;
12.03.2010 09:10;0,007;
12.03.2010 09:20;0,007;
12.03.2010 09:30;0,007;
12.03.2010 09:40;0,007;
12.03.2010 09:50;0,007;
12.03.2010 10:00;0,007;
12.03.2010 10:10;0,007;
12.03.2010 10:20;0,007;
12.03.2010 10:30;0,007;
12.03.2010 10:40;0,007;
12.03.2010 10:50;0,007;
12.03.2010 11:00;0,007;
12.03.2010 11:10;0,007;
12.03.2010 11:20;0,007;
12.03.2010 11:30;0,007;
12.03.2010 11:40;0,007;
12.03.2010 11:50;0,007;
12.03.2010 12:00;0,007;
12.03.2010 12:10;0,007;
12.03.2010 12:20;0,007;
12.03.2010 12:30;0,007;
12.03.2010 12:40;0,007;
12.03.2010 12:50;0,007;
12.03.2010 13:00;0,007;
12.03.2010 13:10;0,007;
12.03.2010 13:20;0,007;
12.03.2010 13:30;0,007;
12.03.2010 13:40;0,007;
12.03.2010 13:50;0,007;
12.03.2010 14:00;0,007;
12.03.2010 14:10;0,007;
12.03.2010 14:20;0,007;
12.03.2010 14:30;0,007;
12.03.2010 14:40;0,007;
12.03.2010 14:50;0,007;
12.03.2010 15:00;0,007;
12.03.2010 15:10;0,093;
12.03.2010 15:20;0,290;0,073
12.03.2010 15:30;0,377;0,135
12.03.2010 15:40;0,482;
12.03.2010 15:50;0,654;
12.03.2010 16:00;0,850;
12.03.2010 16:10;1,025;
12.03.2010 16:20;1,129;
12.03.2010 16:30;1,199;0,393
12.03.2010 16:40;1,287;0,427
12.03.2010 16:50;1,443;0,496
12.03.2010 17:00;1,594;0,554
12.03.2010 17:10;1,658;0,573
12.03.2010 17:20;1,694;0,587
12.03.2010 17:30;1,724;0,596
12.03.2010 17:40;1,740;0,601
12.03.2010 17:50;1,748;0,601
12.03.2010 18:00;1,748;0,601
12.03.2010 18:10;1,748;
12.03.2010 18:20;1,748;
12.03.2010 18:30;1,748;
12.03.2010 18:40;1,748;
12.03.2010 18:50;1,748;
12.03.2010 19:00;1,748;
12.03.2010 19:10;1,748;
12.03.2010 19:20;1,748;
12.03.2010 19:30;1,748;
12.03.2010 19:40;1,748;
12.03.2010 19:50;1,748;
12.03.2010 20:00;1,748;
12.03.2010 20:10;1,748;
12.03.2010 20:20;1,748;
12.03.2010 20:30;1,748;
12.03.2010 20:40;1,748;
12.03.2010 20:50;1,748;
12.03.2010 21:00;1,748;
12.03.2010 21:10;1,748;
12.03.2010 21:20;1,748;
12.03.2010 21:30;1,748;
12.03.2010 21:40;1,748;
12.03.2010 21:50;1,748;
12.03.2010 22:00;1,748;
12.03.2010 22:10;1,748;
12.03.2010 22:20;1,748;
12.03.2010 22:30;1,748;
12.03.2010 22:40;1,748;
12.03.2010 22:50;1,748;
12.03.2010 23:00;1,748;
12.03.2010 23:10;1,748;
12.03.2010 23:20;1,748;
12.03.2010 23:30;1,748;
12.03.2010 23:40;1,748;
12.03.2010 23:50;1,748;
